,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
231,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.416067,0.648416103896104,No significance,No significance,1,1,0.009616,0.009227,0.009857,42.78,47.27,1.1 (1.4;0.88)
232,PWY0.862...5Z..dodec.5.enoate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.420778,0.651607725321888,No significance,No significance,1,1,0.0006501,0.0005824,0.0006884,42.8,47.25,1.1 (1.2;0.95)
233,PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation,g0_vs_g1,g045_vs_g144,89,0.421735,0.651607725321888,No significance,No significance,0.7333,0.8636,0.0001487,0.0001071,0.0001652,42.82,47.23,1 (1.1;0.97)
234,PWY0.321..phenylacetate.degradation.I..aerobic.,g0_vs_g1,g045_vs_g144,89,0.426786,0.652416806722689,No significance,No significance,0.5333,0.6136,1.951e-05,1.477e-05,2.646e-05,42.92,47.12,1 (1.1;0.98)
235,PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens.,g0_vs_g1,g045_vs_g144,89,0.42819,0.652416806722689,No significance,No significance,0.8889,0.9091,0.000136,9.908e-05,0.000197,42.84,47.2,1 (1.1;0.98)
236,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,g0_vs_g1,g045_vs_g144,89,0.428332,0.652416806722689,No significance,No significance,0.2444,0.3182,0,0,0,43.29,46.75,1 (1.1;0.98)
237,P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,g0_vs_g1,g045_vs_g144,89,0.430753,0.652416806722689,No significance,No significance,0.9333,0.9318,0.0002973,0.0003079,0.0002792,47.14,42.81,0.99 (0.96;1)
238,PWY0.1533..methylphosphonate.degradation.I,g0_vs_g1,g045_vs_g144,89,0.43132,0.652416806722689,No significance,No significance,0.8222,0.7727,6.114e-05,5.491e-05,6.687e-05,42.87,47.18,1 (1.1;0.98)
239,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,g0_vs_g1,g045_vs_g144,89,0.438435,0.660404184100418,No significance,No significance,0.2222,0.2727,0,0,0,43.4,46.64,1.1 (1.3;0.92)
240,PWY.5941..glycogen.degradation.II..eukaryotic.,g0_vs_g1,g045_vs_g144,89,0.447486,0.668157154150198,No significance,No significance,0.1556,0.2273,0,0,0,43.58,46.45,1 (1;0.99)
241,PWY.6606..guanosine.nucleotides.degradation.II,g0_vs_g1,g045_vs_g144,89,0.449689,0.668157154150198,No significance,No significance,1,0.9773,0.0004191,0.0003843,0.0004575,42.93,47.11,1 (1.1;0.97)
242,PYRIDNUCSAL.PWY..NAD.salvage.pathway.I,g0_vs_g1,g045_vs_g144,89,0.452719,0.668157154150198,No significance,No significance,0.9556,0.9545,0.0005059,0.0003822,0.0006117,42.96,47.09,1 (1.1;0.98)
243,HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.,g0_vs_g1,g045_vs_g144,89,0.45273,0.668157154150198,No significance,No significance,0.9333,1,0.0001973,0.0001973,0.000195,42.96,47.09,1.1 (1.2;0.95)
244,ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast,g0_vs_g1,g045_vs_g144,89,0.454671,0.668157154150198,No significance,No significance,0.1556,0.2273,0,0,0,43.6,46.43,1 (1.1;0.98)
245,CENTFERM.PWY..pyruvate.fermentation.to.butanoate,g0_vs_g1,g045_vs_g144,89,0.455828,0.668157154150198,No significance,No significance,0.7333,0.8636,0.0001171,8.402e-05,0.0001297,42.98,47.07,1 (1.1;0.97)
246,PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.459568,0.668157154150198,No significance,No significance,1,1,0.005535,0.005765,0.005467,47.02,42.93,0.86 (0.58;1.2)
247,SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.,g0_vs_g1,g045_vs_g144,89,0.459568,0.668157154150198,No significance,No significance,1,1,0.0006498,0.0005721,0.0006566,42.98,47.07,1 (1.1;0.96)
248,P124.PWY..Bifidobacterium.shunt,g0_vs_g1,g045_vs_g144,89,0.46203,0.668157154150198,No significance,No significance,0.2667,0.1818,0,0,0,46.47,43.5,0.99 (0.98;1)
249,PWY.6305..putrescine.biosynthesis.IV,g0_vs_g1,g045_vs_g144,89,0.464552,0.668157154150198,No significance,No significance,1,1,0.00177,0.001965,0.001688,47,42.95,1 (0.99;1)
250,PWY.7664..oleate.biosynthesis.IV..anaerobic.,g0_vs_g1,g045_vs_g144,89,0.464552,0.668157154150198,No significance,No significance,1,1,0.0007503,0.0006716,0.0007816,43,47.05,1 (1.1;0.96)
251,PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III,g0_vs_g1,g045_vs_g144,89,0.467275,0.668157154150198,No significance,No significance,0.8667,0.8864,0.0001378,0.0001202,0.0001413,43.02,47.02,1 (1.1;0.97)
252,COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.469566,0.668157154150198,No significance,No significance,1,1,0.001606,0.001487,0.001803,43.02,47.02,1.1 (1.3;0.92)
253,PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.,g0_vs_g1,g045_vs_g144,89,0.469566,0.668157154150198,No significance,No significance,1,1,0.0004822,0.0004571,0.0005325,43.02,47.02,1 (1.1;0.96)
254,FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.,g0_vs_g1,g045_vs_g144,89,0.474609,0.670036235294118,No significance,No significance,1,1,0.0005184,0.0004902,0.0005699,43.04,47,1 (1.1;0.96)
255,PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.474609,0.670036235294118,No significance,No significance,1,1,0.001059,0.001007,0.00112,43.04,47,1.1 (1.2;0.94)
256,PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.,g0_vs_g1,g045_vs_g144,89,0.487945,0.685402471042471,No significance,No significance,0.9111,0.9318,0.0002175,0.0001946,0.0002366,43.11,46.93,1 (1.1;0.98)
257,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,g0_vs_g1,g045_vs_g144,89,0.489914,0.685402471042471,No significance,No significance,1,1,0.000805,0.0007591,0.0008832,43.11,46.93,1 (1.1;0.96)
258,PWY.6731..starch.degradation.III,g0_vs_g1,g045_vs_g144,89,0.49195,0.685402471042471,No significance,No significance,0.2889,0.3864,0,0,0,43.42,46.61,1 (1;0.99)
259,PWY.6588..pyruvate.fermentation.to.acetone,g0_vs_g1,g045_vs_g144,89,0.493109,0.685402471042471,No significance,No significance,0.9111,0.9318,0.0002764,0.0002452,0.0003085,43.13,46.91,1 (1;0.99)
260,TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis,g0_vs_g1,g045_vs_g144,89,0.495899,0.686629384615385,No significance,No significance,0.0889,0.1364,0,0,0,43.98,46.05,1.1 (1.3;0.91)
261,PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium.,g0_vs_g1,g045_vs_g144,89,0.503443,0.691910418250951,No significance,No significance,0.2667,0.3182,0,0,0,43.53,46.5,1 (1.1;0.96)
262,PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation,g0_vs_g1,g045_vs_g144,89,0.505479,0.691910418250951,No significance,No significance,1,1,0.0004525,0.000431,0.0004635,43.18,46.86,1 (1.1;0.96)
263,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.505479,0.691910418250951,No significance,No significance,1,1,0.004184,0.003878,0.004194,43.18,46.86,1.1 (1.2;0.93)
264,PWY.6737..starch.degradation.V,g0_vs_g1,g045_vs_g144,89,0.510723,0.696440454545455,No significance,No significance,1,1,0.01242,0.01075,0.01263,43.2,46.84,1.1 (1.2;0.94)
265,PWY.5101..L.isoleucine.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.514146,0.69834045112782,No significance,No significance,0.9556,0.9773,0.001956,0.001956,0.001867,46.78,43.18,0.96 (0.89;1)
266,PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.,g0_vs_g1,g045_vs_g144,89,0.515996,0.69834045112782,No significance,No significance,1,1,0.00199,0.001892,0.002095,43.22,46.82,1 (1.1;0.96)
267,PWY.5104..L.isoleucine.biosynthesis.IV,g0_vs_g1,g045_vs_g144,89,0.519397,0.700310561797753,No significance,No significance,0.9111,0.9545,0.0009491,0.0009491,0.001046,43.24,46.8,1 (1.1;0.98)
268,PWY66.398..TCA.cycle.III..animals.,g0_vs_g1,g045_vs_g144,89,0.524232,0.70419223880597,No significance,No significance,0.3111,0.3864,0,0,0,43.52,46.51,1 (1.1;0.98)
269,PPGPPMET.PWY..ppGpp.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.53015,0.709306666666667,No significance,No significance,0.9778,0.9545,0.0002886,0.0002757,0.0004016,43.29,46.75,1 (1;0.99)
270,PWY.5659..GDP.mannose.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.53198,0.709306666666667,No significance,No significance,1,1,0.003484,0.003658,0.003459,46.71,43.25,0.88 (0.64;1.1)
271,LACTOSECAT.PWY..lactose.and.galactose.degradation.I,g0_vs_g1,g045_vs_g144,89,0.539287,0.716396014760148,No significance,No significance,0.8222,0.7727,7.495e-05,6.209e-05,7.64e-05,43.33,46.7,1 (1.1;0.98)
272,PWY.7039..phosphatidate.metabolism..as.a.signaling.molecule,g0_vs_g1,g045_vs_g144,89,0.543325,0.719106617647059,No significance,No significance,0.2667,0.3182,0,0,0,43.67,46.36,1 (1.1;0.97)
273,PWY.7286..7..3.amino.3.carboxypropyl..wyosine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.547644,0.720274598540146,No significance,No significance,0.1111,0.1591,0,0,0,44.02,46,1 (1.1;0.98)
274,PWY.5973..cis.vaccenate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.548209,0.720274598540146,No significance,No significance,1,1,0.009864,0.0102,0.009789,46.64,43.32,0.9 (0.68;1.1)
275,P164.PWY..purine.nucleobases.degradation.I..anaerobic.,g0_vs_g1,g045_vs_g144,89,0.55237,0.723102545454545,No significance,No significance,0.8444,0.7045,0.0003697,0.0003641,0.0003764,46.61,43.35,0.95 (0.86;1)
276,GLYCOCAT.PWY..glycogen.degradation.I..bacterial.,g0_vs_g1,g045_vs_g144,89,0.559161,0.727978483754513,No significance,No significance,1,0.9773,0.0006673,0.0005645,0.000738,43.4,46.64,1 (1;0.99)
277,PWY66.409..superpathway.of.purine.nucleotide.salvage,g0_vs_g1,g045_vs_g144,89,0.560139,0.727978483754513,No significance,No significance,0.9778,0.9773,0.002074,0.001925,0.002319,43.41,46.62,1 (1.1;0.96)
278,PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.564676,0.727979142857143,No significance,No significance,1,1,0.002315,0.002492,0.002199,46.58,43.39,0.94 (0.82;1.1)
279,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.564676,0.727979142857143,No significance,No significance,1,1,0.0166,0.0166,0.01659,43.42,46.61,1.1 (1.4;0.89)
280,METHANOGENESIS.PWY..methanogenesis.from.H2.and.CO2,g0_vs_g1,g045_vs_g144,89,0.566206,0.727979142857143,No significance,No significance,0.1111,0.1591,0,0,0,44.07,45.95,1 (1;0.99)
281,PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.,g0_vs_g1,g045_vs_g144,89,0.570217,0.730527117437722,No significance,No significance,1,1,0.004259,0.004248,0.004293,43.44,46.59,1.1 (1.2;0.95)
282,PWY.5198..factor.420.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.575599,0.734807234042553,No significance,No significance,0.1111,0.1591,0,0,0,44.09,45.93,1 (1;0.99)
283,AEROBACTINSYN.PWY..aerobactin.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.586104,0.744073098591549,No significance,No significance,0.5333,0.5,3.517e-06,5.225e-06,9.964e-07,46.4,43.57,0.98 (0.95;1)
284,NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch.,g0_vs_g1,g045_vs_g144,89,0.586991,0.744073098591549,No significance,No significance,1,1,0.00768,0.007843,0.007582,46.49,43.48,1 (1.1;0.98)
285,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.603989,0.76293347368421,No significance,No significance,1,1,0.0006703,0.0006449,0.0007731,43.58,46.45,1 (1.1;0.96)
286,PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.609703,0.767458321678322,No significance,No significance,1,1,0.008859,0.008859,0.008792,46.4,43.57,0.9 (0.71;1.1)
287,TRNA.CHARGING.PWY..tRNA.charging,g0_vs_g1,g045_vs_g144,89,0.626986,0.786463275261324,No significance,No significance,1,1,0.001655,0.001962,0.001625,46.33,43.64,0.99 (0.97;1)
288,BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.632793,0.786476745762712,No significance,No significance,1,1,0.007431,0.007414,0.007717,43.69,46.34,1.1 (1.2;0.94)
289,PWY66.399..gluconeogenesis.III,g0_vs_g1,g045_vs_g144,89,0.637019,0.786476745762712,No significance,No significance,0.9556,0.9545,0.0006808,0.0006729,0.0007027,43.71,46.32,1 (1;0.99)
290,ENTBACSYN.PWY..enterobactin.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.637417,0.786476745762712,No significance,No significance,0.7556,0.75,0.0003377,0.000302,0.0003437,43.72,46.31,1 (1;0.99)
291,PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II,g0_vs_g1,g045_vs_g144,89,0.638622,0.786476745762712,No significance,No significance,1,1,0.003041,0.002982,0.003201,43.71,46.32,1 (1.1;0.96)
292,TRPSYN.PWY..L.tryptophan.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.638622,0.786476745762712,No significance,No significance,1,1,0.004578,0.004603,0.004566,43.71,46.32,1.1 (1.2;0.93)
293,PWY.621..sucrose.degradation.III..sucrose.invertase.,g0_vs_g1,g045_vs_g144,89,0.644474,0.786476745762712,No significance,No significance,1,1,0.004178,0.004116,0.004324,43.73,46.3,1 (1;0.99)
294,PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.644474,0.786476745762712,No significance,No significance,1,1,0.003362,0.003473,0.003276,46.27,43.7,0.93 (0.79;1.1)
295,PWY.7234..inosine.5.phosphate.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.644474,0.786476745762712,No significance,No significance,1,1,0.002489,0.002508,0.002419,46.27,43.7,0.94 (0.83;1.1)
296,PWY.6876..isopropanol.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.65506,0.790125351170569,No significance,No significance,0.1333,0.1818,0,0,0,44.22,45.8,0.95 (0.86;1)
297,HSERMETANA.PWY..L.methionine.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.656243,0.790125351170569,No significance,No significance,1,1,0.001557,0.001593,0.001514,46.22,43.75,0.97 (0.91;1)
298,NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I,g0_vs_g1,g045_vs_g144,89,0.656243,0.790125351170569,No significance,No significance,1,1,0.01464,0.01464,0.01434,43.78,46.25,1.1 (1.2;0.94)
299,PWY.5103..L.isoleucine.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.656243,0.790125351170569,No significance,No significance,1,1,0.006505,0.006411,0.006625,43.78,46.25,1.1 (1.2;0.95)
300,PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.662159,0.7945908,No significance,No significance,1,1,0.003356,0.002827,0.003457,43.8,46.23,1 (1;0.99)
301,PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.,g0_vs_g1,g045_vs_g144,89,0.668096,0.798221842105263,No significance,No significance,1,1,0.01612,0.01639,0.01604,46.18,43.8,0.94 (0.82;1.1)
302,PWY.2723..trehalose.degradation.V,g0_vs_g1,g045_vs_g144,89,0.669888,0.798221842105263,No significance,No significance,0.7556,0.7273,6.358e-05,6.678e-05,6.274e-05,43.84,46.18,1 (1.1;0.98)
303,METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation,g0_vs_g1,g045_vs_g144,89,0.673828,0.798221842105263,No significance,No significance,0.8,0.75,2.474e-05,2.474e-05,2.733e-05,43.86,46.17,1 (1.1;0.98)
304,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.674054,0.798221842105263,No significance,No significance,1,1,0.0008369,0.0007968,0.0009485,43.84,46.18,1 (1.1;0.96)
305,COA.PWY..coenzyme.A.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.680032,0.802660721311475,No significance,No significance,1,1,0.003746,0.003763,0.003647,46.13,43.84,0.92 (0.76;1.1)
306,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.698086,0.818602475570033,No significance,No significance,1,1,0.002989,0.002903,0.003022,43.93,46.09,1 (1.1;0.97)
307,PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.698086,0.818602475570033,No significance,No significance,1,1,0.02229,0.02225,0.02232,43.93,46.09,1.1 (1.2;0.94)
308,PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.,g0_vs_g1,g045_vs_g144,89,0.704142,0.823023116883117,No significance,No significance,1,1,0.01653,0.0166,0.0165,46.04,43.93,0.92 (0.77;1.1)
309,POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.710217,0.827437281553398,No significance,No significance,1,1,0.001294,0.001316,0.001291,43.98,46.05,1 (1.1;0.96)
310,PWY490.3..nitrate.reduction.VI..assimilatory.,g0_vs_g1,g045_vs_g144,89,0.721569,0.836693247588424,No significance,No significance,0.6667,0.6364,2.506e-05,2.456e-05,2.554e-05,44.04,45.98,1 (1;1)
311,PWY.922..mevalonate.pathway.I,g0_vs_g1,g045_vs_g144,89,0.72281,0.836693247588424,No significance,No significance,0.3111,0.3409,0,0,0,44.19,45.83,1 (1;0.99)
312,PWYG.321..mycolate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.727269,0.839156538461538,No significance,No significance,1,0.9545,0.0007169,0.0006848,0.0007875,44.04,45.98,0.99 (0.98;1)
313,PWY.6151..S.adenosyl.L.methionine.cycle.I,g0_vs_g1,g045_vs_g144,89,0.740858,0.852105047923323,No significance,No significance,1,1,0.01568,0.01575,0.01567,44.09,45.93,1.1 (1.3;0.91)
314,PWY.5920..superpathway.of.heme.biosynthesis.from.glycine,g0_vs_g1,g045_vs_g144,89,0.748236,0.857850191082803,No significance,No significance,0.6889,0.6818,7.534e-05,7.534e-05,7.6e-05,45.87,44.11,0.99 (0.97;1)
315,PWY66.422..D.galactose.degradation.V..Leloir.pathway.,g0_vs_g1,g045_vs_g144,89,0.753232,0.860836571428571,No significance,No significance,1,1,0.005565,0.005597,0.005374,44.13,45.89,1 (1.1;0.97)
316,PWY.7539..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III..Chlamydia.,g0_vs_g1,g045_vs_g144,89,0.759443,0.865188227848101,No significance,No significance,1,1,0.0009413,0.0009548,0.000941,44.16,45.86,1.1 (1.2;0.95)
317,P42.PWY..incomplete.reductive.TCA.cycle,g0_vs_g1,g045_vs_g144,89,0.76567,0.869530599369085,No significance,No significance,1,1,0.001144,0.001144,0.001167,44.18,45.84,1.1 (1.2;0.95)
318,PWY.6167..flavin.biosynthesis.II..archaea.,g0_vs_g1,g045_vs_g144,89,0.768575,0.870084905660377,No significance,No significance,0.1111,0.1364,0,0,0,44.53,45.48,1 (1;1)
319,PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.,g0_vs_g1,g045_vs_g144,89,0.771911,0.871122131661442,No significance,No significance,1,1,0.007888,0.007799,0.008005,44.2,45.82,1.1 (1.4;0.89)
320,PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation,g0_vs_g1,g045_vs_g144,89,0.778167,0.874734953271028,No significance,No significance,1,0.9773,0.002508,0.002389,0.002581,44.22,45.8,1 (1.1;0.97)
321,PWY.5415..catechol.degradation.I..meta.cleavage.pathway.,g0_vs_g1,g045_vs_g144,89,0.779972,0.874734953271028,No significance,No significance,0.3778,0.3636,0,0,0,44.33,45.68,1 (1.1;0.96)
322,GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation,g0_vs_g1,g045_vs_g144,89,0.784438,0.877011428571428,No significance,No significance,1,1,0.003171,0.003171,0.003146,45.76,44.23,1 (1.1;0.98)
323,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.790722,0.881300061919505,No significance,No significance,1,1,0.002187,0.002307,0.002023,45.73,44.25,0.99 (0.98;1)
324,PWY.7399..methylphosphonate.degradation.II,g0_vs_g1,g045_vs_g144,89,0.79448,0.882755555555556,No significance,No significance,0.1556,0.1364,0,0,0,45.44,44.55,0.98 (0.94;1)
325,GLUCONEO.PWY..gluconeogenesis.I,g0_vs_g1,g045_vs_g144,89,0.798813,0.884839015384615,No significance,No significance,0.8,0.8864,0.001103,0.001423,0.0008119,45.7,44.28,1 (1;0.99)
326,PWY.7235..superpathway.of.ubiquinol.6.biosynthesis..eukaryotic.,g0_vs_g1,g045_vs_g144,89,0.803697,0.886297981651376,No significance,No significance,0.3333,0.3409,0,0,0,44.42,45.59,1 (1.1;0.98)
327,ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism,g0_vs_g1,g045_vs_g144,89,0.805054,0.886297981651376,No significance,No significance,0.2667,0.2727,0,0,0,44.47,45.55,1.1 (1.2;0.95)
328,PWY.5686..UMP.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.809654,0.888644634146342,No significance,No significance,1,1,0.01582,0.01571,0.01609,44.33,45.68,1.1 (1.3;0.91)
329,GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation,g0_vs_g1,g045_vs_g144,89,0.81599,0.892876595744681,No significance,No significance,1,1,0.003118,0.003118,0.002966,45.64,44.34,1 (1.1;0.98)
330,PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.,g0_vs_g1,g045_vs_g144,89,0.822338,0.897096,No significance,No significance,1,1,0.01619,0.0165,0.01615,45.62,44.36,0.95 (0.86;1)
331,PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.828697,0.901301873111783,No significance,No significance,1,1,0.005444,0.005336,0.005659,44.4,45.61,1 (1;0.99)
332,PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,g0_vs_g1,g045_vs_g144,89,0.835068,0.9015525,No significance,No significance,1,1,0.003068,0.003034,0.003109,44.42,45.59,1 (1.1;0.98)
333,PWY.6897..thiamin.salvage.II,g0_vs_g1,g045_vs_g144,89,0.835068,0.9015525,No significance,No significance,1,1,0.008542,0.008542,0.008525,44.42,45.59,1.1 (1.4;0.9)
334,GALACTUROCAT.PWY..D.galacturonate.degradation.I,g0_vs_g1,g045_vs_g144,89,0.841449,0.9015525,No significance,No significance,1,1,0.003027,0.003187,0.002916,45.56,44.43,1 (1.1;0.97)
335,METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.841449,0.9015525,No significance,No significance,1,1,0.002941,0.002941,0.002922,44.44,45.57,1 (1.1;0.98)
336,PWY.6317..galactose.degradation.I..Leloir.pathway.,g0_vs_g1,g045_vs_g144,89,0.841449,0.9015525,No significance,No significance,1,1,0.005565,0.005597,0.005374,44.44,45.57,1 (1.1;0.98)
337,PWY.7456..mannan.degradation,g0_vs_g1,g045_vs_g144,89,0.844134,0.901745519287834,No significance,No significance,0.4444,0.4773,0,0,0,44.5,45.51,1 (1;1)
338,COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I,g0_vs_g1,g045_vs_g144,89,0.847841,0.903025917159763,No significance,No significance,1,1,0.003627,0.003442,0.003705,44.47,45.55,1.1 (1.2;0.95)
339,PWY.5177..glutaryl.CoA.degradation,g0_vs_g1,g045_vs_g144,89,0.873502,0.924884470588235,No significance,No significance,1,1,0.001593,0.001392,0.001607,44.56,45.45,1 (1.1;0.98)
340,PWY.5690..TCA.cycle.II..plants.and.fungi.,g0_vs_g1,g045_vs_g144,89,0.873502,0.924884470588235,No significance,No significance,1,1,0.001486,0.001486,0.001487,44.56,45.45,1 (1.1;0.96)
341,PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.899296,0.949403401759531,No significance,No significance,1,1,0.006187,0.006387,0.006128,44.64,45.36,1.1 (1.2;0.94)
342,PWY.6700..queuosine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.912234,0.960246315789474,No significance,No significance,1,1,0.01483,0.01582,0.01458,44.69,45.32,1 (1;0.99)
343,HISTSYN.PWY..L.histidine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.918712,0.961442790697674,No significance,No significance,1,1,0.003176,0.003176,0.003167,44.71,45.3,0.99 (0.98;1)
344,P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,g0_vs_g1,g045_vs_g144,89,0.918712,0.961442790697674,No significance,No significance,1,1,0.001107,0.001051,0.001152,45.29,44.7,0.97 (0.91;1)
345,P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.,g0_vs_g1,g045_vs_g144,89,0.923308,0.96263063583815,No significance,No significance,0.4889,0.5227,4.797e-06,0,1.014e-05,45.26,44.74,0.99 (0.98;1)
346,PWY.5097..L.lysine.biosynthesis.VI,g0_vs_g1,g045_vs_g144,89,0.925195,0.96263063583815,No significance,No significance,1,1,0.016,0.01635,0.01545,44.73,45.27,1.1 (1.2;0.94)
347,PWY.6467..Kdo.transfer.to.lipid.IVA.III..Chlamydia.,g0_vs_g1,g045_vs_g144,89,0.950754,0.981153696275072,No significance,No significance,0.2222,0.2273,0,0,0,44.87,45.14,1 (1;1)
348,PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage,g0_vs_g1,g045_vs_g144,89,0.950924,0.981153696275072,No significance,No significance,0.9556,0.9773,0.003313,0.003287,0.003384,45.18,44.82,1 (1;1)
349,PWY0.1296..purine.ribonucleosides.degradation,g0_vs_g1,g045_vs_g144,89,0.951174,0.981153696275072,No significance,No significance,1,1,0.006727,0.007302,0.006507,45.18,44.82,0.99 (0.96;1)
350,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.957677,0.983303796033994,No significance,No significance,1,1,0.001786,0.00177,0.001786,44.84,45.16,1 (1;0.98)
351,PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.,g0_vs_g1,g045_vs_g144,89,0.963957,0.983303796033994,No significance,No significance,0.8667,0.8636,0.0001573,0.0001845,0.0001494,45.13,44.86,0.99 (0.98;1)
