# Pathway	E0000355_Abundance	E0000361_Abundance	E0000362_Abundance	E0000369_Abundance	E0000376_Abundance	E0000378_Abundance	E0000382_Abundance	E0000393_Abundance	E0000404_Abundance	E0000410_Abundance	E0000416_Abundance	E0000418_Abundance	E0000419_Abundance	E0000420_Abundance	E0000426_Abundance	E0000428_Abundance	E0000432_Abundance	E0000433_Abundance	E0000435_Abundance	E0000442_Abundance	E0000466_Abundance	E0000467_Abundance	E0000471_Abundance	E0000478_Abundance	E0000480_Abundance	E0000482_Abundance	E0000488_Abundance	E0000490_Abundance	E0000495_Abundance	E0000498_Abundance	E0000501_Abundance	E0000502_Abundance	E0000516_Abundance	E0000520_Abundance	E0000521_Abundance	E0000522_Abundance	E0000527_Abundance	E0000531_Abundance	E0000537_Abundance	E0000539_Abundance	E0000540_Abundance	E0001336_Abundance	E0001340_Abundance	E0001346_Abundance	PV101516_Abundance	PV101570_Abundance	PV101581_Abundance	PV101643_Abundance	PV101656_Abundance	PV101894_Abundance	PV101895_Abundance	PV101929_Abundance	PV101945_Abundance	PV101948_Abundance	PV101962_Abundance	PV102349_Abundance	PV102418_Abundance	PV102462_Abundance	PV102474_Abundance	PV102574_Abundance	PV102580_Abundance	PV19497_Abundance	PV19551_Abundance	PV19565_Abundance	PV19588_Abundance	PV19658_Abundance	PV19708_Abundance	PV19755_Abundance	PV19834_Abundance	PV19855_Abundance	PV19856_Abundance	PV19882_Abundance	PV19936_Abundance	PV19942_Abundance	PV19991_Abundance	PV20005_Abundance	PV20541_Abundance	PV20544_Abundance	PV20615_Abundance	PV21638_Abundance	PV21671_Abundance	PV21690_Abundance	PV21772_Abundance	PV21813_Abundance	PV21876_Abundance	PV23791_Abundance	PV23961_Abundance	PV24015_Abundance	PV49580_Abundance
PWY-6151: S-adenosyl-L-methionine cycle I	8067.0023102452	8198.2490399773	11856.5772445415	9325.4663544330	9219.2365248159	11337.8394589193	5539.5929870254	2244.4396876104	11229.7171669302	8467.2253139211	7609.8693794104	7581.0869799924	8309.0494466743	7195.0908913440	9005.5554028686	8900.9585966120	8657.1123488862	11207.9447059067	6436.3328287833	8819.8893283896	8012.6684291978	5951.7086738358	9754.4272199136	6711.4467082318	8211.7628650630	11711.7940249011	8150.6115926870	9156.6364662725	8525.6225993682	6431.8524636125	9531.5796328756	8111.6355316976	10376.7427823418	13134.2416769749	11649.8974938925	11770.9225344240	5697.4091481824	9253.9874470836	12910.7976951480	7929.0579974486	7898.6256988679	6728.3963226701	7924.9149490807	8474.3037986311	7530.5012012338	8672.4606951036	8685.6035526859	6899.2649215419	9121.7078340608	10285.8708302653	5568.6663058418	8473.4305084761	5966.4406232887	9174.1863500195	8010.9769629836	5146.6279909552	9164.7513600300	6597.1706936810	8134.8762957834	7546.2312239824	8912.7024601255	12075.7580664275	7092.4669490864	3835.3787195149	11250.8719434968	7420.8980022113	8006.2631283089	9188.0131836971	5781.4041839959	9622.7038259287	8978.3611845434	4759.5206968617	8531.7298783622	8281.2362739838	3417.8439413812	8241.0540944219	9183.7113491389	7338.6793311115	11290.4972965561	9528.7805133626	7846.8239197486	9449.9978907479	9487.3556162166	10230.1740487375	11119.3872625343	11318.4423709207	5772.5788765114	10352.4898598093	8025.5398906287
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	6988.4959394371	7611.0162407397	7081.8993698606	8495.1827543503	4422.0546636734	9551.9435288056	5513.3729679397	5508.1910471201	4696.8980474830	6068.0900094427	7138.9294013651	7616.1417665316	7111.2457412632	8060.8652174723	6942.2149998291	5949.0779989309	2640.2397499929	8907.9419380045	5773.1746701059	6218.4786152842	8854.1138200737	5667.3625747719	8674.1156076073	5469.5149142579	6625.1955401750	5962.0318647988	9193.2571460540	4195.2905867544	7538.6195760565	4357.7122203369	8154.3533935580	8653.5086946828	3450.2149453437	8981.3686835754	7564.2776767396	11031.9882921950	4640.6354897855	9299.8281836746	4784.4725592709	8915.6164240950	5855.0606443124	4943.0331140435	5417.4931774572	6427.7752030757	5751.1289573424	6916.7359191101	5654.6727961120	3979.4929291164	8252.3353539354	3665.7893810639	6338.5122970520	5275.1781167153	4380.9345944567	5447.7002912554	2851.0822342594	4984.7678331517	6057.7375213580	5245.6731859347	6767.1757275938	5387.7366504298	6178.5042994629	5796.5133083190	3011.3685933607	4043.9890590019	7696.6156592854	3182.7639672097	5192.8622208885	7569.4373063937	4621.1093308259	4584.0881840436	6765.5018728320	5224.7946336684	7084.3096086565	6905.8347465705	4718.1220068393	5440.3607494391	4480.6471941952	5358.8661499400	7049.4442365054	6617.8598740681	5941.1209096433	3546.4927104407	5655.6771646304	5437.7961592267	6880.9413243118	8802.1235510957	5340.8915830832	4715.6563956171	6023.1459206995
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	52.9906976360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.1200223118	0	0	0	0	0	0	0	0	0	43.1111088414	0	0	114.1029792255	0	0	40.5537435907	0	428.1866597940	0	0	0	67.4767458803	0	0	0	0	0	0	0	0	28.7051132787	0	0	0	0	11.9716857079	0	0	0	0	0	0	0	0	0	0	205.4290395551	0	57.7737069805	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	61.9497029420	0	0	164.2541232525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2649195733	0	0	0	0	0	0	0	0	0	145.5788211694	0	0	1009.4175337547	0	0	72.6335653557	0	402.9556805680	0	0	0	107.6491716398	0	0	0	0	0	0	0	0	66.7658285479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.1066288028	0	139.5015188313	0	0
PWY-6168: flavin biosynthesis III (fungi)	4357.3539679073	3258.7231531078	3118.8919372211	2463.9539631888	4035.2811244710	4492.8607833919	2694.8598173968	6611.9859489329	3215.7089870022	4062.0190878115	2981.0806991477	3619.7548432119	5845.4452514361	5033.9685393577	3659.7441882637	2762.2568294538	3464.0095326157	2314.4078393156	2964.5716021264	5645.7276365005	1622.2938252149	4187.2641366005	3189.9547396921	3113.0665450250	4168.5668707274	2043.4889070255	3151.7660595457	3356.9067654683	5003.4608195895	1298.9909573966	4629.7839253844	2329.5325664409	5137.0233654246	4662.6739396968	4098.8224639206	7063.5486340778	2403.2072507962	2988.0674643389	1070.5138720797	6290.4907591910	4771.6312799431	3195.7402325066	4332.3194684908	918.3277947915	3635.1920810789	1890.4925433167	5122.9634576325	782.6673415702	4273.2763991722	1737.6010609902	3043.3283149472	3168.8637865312	5678.7399173567	2345.3409266984	913.4851707165	2345.7915575843	2440.0876879185	4452.2485167438	4156.3007135896	866.3092693944	3710.2623216451	2483.5866880955	2982.5819370241	1875.8622008016	3326.8963550575	5131.2652754114	2165.5209737486	3958.7034149961	2554.6696149045	4167.7627692874	4905.4631351561	3411.7784541185	4540.6131282376	4044.2758984905	2415.5413783143	5992.8187780631	618.8932305105	5383.7522641791	3084.6886521539	4327.4851609655	644.2327809271	3626.4754484501	4920.3993638125	2678.0219678972	3587.7280564956	3564.3145650657	2569.5374151288	5562.8945047053	5625.1251708978
PWY-6174: mevalonate pathway II (archaea)	0	0	0	9.9619025181	0	0	66.0890231198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6795193860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278.7411814164	0	0	0	29.3917316832	0	0	0	0	0	0	0	0	5.5560352868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.0689151721	0	22.8071744576	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	41.3940717343	0	0	0	0	0	25.3142089026	0	58.7283694150	14.6073163929	0	0	0	0	0	104.9180836103	0	13.0234486587	21.1417738910	0	0	0	0	17.8927651164	0	0	0	0	0	0	0	0	0	0	0	36.1406981810	0	0	56.8617582491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.6970183380	0	13.6181183568	0	25.5447027935	24.5614359429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9785178089	0	0	0	11.2241289405	0	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	5582.0744501552	3826.1814554785	2329.8339973966	3764.4032983951	3443.1621331869	3537.0197293268	2864.8942089777	1364.1910506849	1105.3714728390	2014.0581728193	4650.2087169554	3492.9498053268	5461.3490917071	5051.9951606361	2586.8590385196	2651.2385861381	697.6734157549	2920.7018496577	2237.4751387620	2950.1215225926	2674.5319377104	2480.3991956965	2761.1674917301	814.1400478999	1889.0045305933	1544.7480420714	6017.7602204500	766.0646079665	3398.5584418459	1019.5317865503	1559.5064407152	3043.5730371905	723.2827840073	979.8629578977	3523.6127179278	5635.7066007321	1834.3194088491	4234.5278027154	1078.6779624031	1420.2523221416	1355.1461552102	2531.3892526476	3655.0134687282	2193.2637454482	1527.6471707174	1619.2404772371	1058.8538899434	672.3319082192	1767.8272116386	282.6853263162	3181.5273535044	2311.9915180934	1501.9902606241	1192.7964148083	422.8106681825	2273.5240284474	1951.2957658209	2616.2746050167	2877.0664238594	1734.2871919321	2102.9211609500	2213.6797606102	1721.8065094372	1194.8340938195	2734.7345431788	1223.1829895889	1544.1114264991	3534.8723629456	1183.8619818646	707.2949789253	3123.8123102346	1931.8717674593	2448.3044002623	1750.4111505543	1474.9700573159	3227.0227074760	1499.4751095983	3342.2164346058	718.5593816447	1060.4149713393	1846.6035528012	81.8653219972	2945.6695782665	1727.1283180236	1627.2111661695	3308.0760856209	1907.3090588841	1600.5739310036	5299.2621844803
PWY-622: starch biosynthesis	15.9816722635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8504514576	0	0	0	0	0	0	22.7442260341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7623681813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	27.5477393206	50.7212219803	860.7428567104	58.8099226654	0	380.2543826641	0	0	0	0	414.4016166133	0	0	57.4489700388	0	158.9250894454	0	1395.6843188523	215.9728850497	0	202.2084976248	0	20.7067322530	44.4768538970	0	369.9183269890	21.3123741914	0	7.2460119963	10.5517081043	0	0	0	0	81.2311123031	64.5914985184	0	25.3733588530	0	0	0	0	101.3609561411	0	35.0113323819	0	0	49.1513751452	154.4100278224	0	72.3938385363	35.6394213461	0	121.7857034337	45.5948903401	308.0402744494	0	40.8739472318	21.3297568794	205.0068276545	303.4328798803	0	80.7970299450	0	10.1727746841	0	48.1378272821	54.1977937807	40.6852403761	0	417.0811156509	446.1663889102	0	0	0	78.0571095700	0	333.4016567082	0	215.2112201477	91.1272737450	0	0	0	244.9067103285	93.6683078202	41.7467261027	0	0
PWY-6270: isoprene biosynthesis I	783.8227693196	1217.2963132925	2433.5101373322	248.6586271556	138.1076079665	868.5298017236	2211.6850884856	328.7871802508	535.3888833667	0	524.8933469640	93.9970620724	913.3970462828	131.0895379475	0	1634.4184677592	627.7093696532	1971.1845133405	341.4099783036	806.7393018652	790.5340834855	81.5040151789	251.6859968795	2821.5918081275	286.8274296911	1313.2073445132	122.6462002307	97.4834238061	153.0307248819	2138.7939560662	1641.6059566841	335.8735940729	1851.5154271175	1905.7718115501	234.0019247470	767.9165899999	173.2736573215	659.5001919290	18.6470908649	1086.3154474818	2573.5066304454	132.2035146883	234.5182840015	1154.6171483912	326.2801365347	64.8877633744	118.8298270888	336.4676268631	865.6291214845	606.8974120806	2194.7296965941	139.2261871914	45.9764515934	444.7797200837	248.3152635722	3379.5551510524	156.1010816362	1944.8278343463	0	1178.3750827738	679.4771921367	110.6998352054	79.2095989299	18.6243927820	1803.1163847244	0	1701.6165053308	474.2095041414	2665.5800869870	213.3633842324	3625.5130494675	2774.0376123551	433.5934198121	985.1425884881	180.4729803624	270.2721758400	971.4154548054	539.1138634119	0	2365.4890765714	758.7794771305	498.8760642865	160.6405964311	37.2509520210	3728.8023630649	1904.7258643668	838.4157207585	110.8816573048	1602.8067359882
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	6634.2419856329	6237.9307425096	4118.8080756133	6669.9252991937	5924.4094959073	6957.9767399499	5692.7768643607	3771.5215241601	2481.6529609565	4410.7568279275	5919.6987835280	6104.0578147803	5579.2005866888	6231.1036648902	6305.0845651018	4103.7472489483	2251.3952948756	4984.8310459055	4614.3539741468	5364.0229309926	6659.8363997763	5242.5810574819	6090.3075215980	5140.3658641926	6230.8049689031	4405.3200807951	7367.5613619207	3448.2103806648	5615.1216952795	3291.2999245561	5697.6862555625	6300.6268534147	2524.4970725621	5838.1682720925	4916.8836660067	7631.6435123689	4577.5507552390	7212.1849609135	2773.8891297624	5050.2931842872	3553.8660464164	4475.1239234169	5868.4416270885	4712.6245103537	5377.7519592071	3903.3797633067	4223.8481419330	2520.4402217964	5402.7082054612	3533.4437432653	5323.0486059842	4231.4911474967	6111.0791854398	3715.3684703273	1905.7479315739	5875.3627880487	4149.0341413941	4296.8184035809	4764.8495898374	3671.7535452952	4158.6134306664	3024.2705653752	4233.9081888033	3642.2080701973	5112.7335609824	4797.1267179403	4511.7187010343	5945.3734334215	3639.0479387345	4233.0119819871	3795.7034646008	5247.5183984014	5890.2869743261	6826.4872145075	4806.8909138284	7198.5452547532	2580.3685826005	4373.1617806530	3403.9818550669	4656.8200176707	3337.0598855060	2175.5133563602	5085.1116451369	3712.6867856212	4352.1020791504	5319.4610014124	5366.5661249810	3647.7330095032	5107.9238570054
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	378.8149886012	1292.2199083117	787.3229025606	506.3400760005	326.6867758278	805.3304844961	1065.6341134023	119.2120756244	416.1677912195	363.7919291932	662.4425864305	778.4190413229	734.0915158781	202.4701427912	441.2241974044	195.2758791815	367.5978754005	2291.6001440780	353.7351872970	470.6798377906	745.1263444231	325.3628899039	384.7700061454	561.1694099022	401.6368203167	720.4606839314	5.5941458745	171.8767771132	285.2571701003	167.9133313135	743.9907499250	276.0752125528	664.9175257716	3145.0764470035	369.9559551872	709.9833840518	258.9597969102	807.7740660359	116.4045465434	354.5930773451	1109.4145410478	338.1497822334	214.3398195121	107.9413905768	182.4489258395	188.7047615001	52.9477208314	136.0783261781	136.2997864995	215.6119234765	300.3181012265	821.5562576401	396.2105755992	243.6612805436	42.2834450825	1337.6678544165	319.2107799226	1707.9267871380	37.2490069753	298.2493633722	371.1045555096	31.7760570287	398.4888403351	191.3562656270	163.8799390111	348.3093731331	256.0654154170	666.7171994499	1456.0720281893	277.1762777339	1645.7631056782	1889.5318741824	687.5946652248	697.9583615952	279.8290162396	333.3450640109	175.6209559410	286.8969678385	485.5342957622	3326.4892539647	613.9002678117	68.9652557626	238.2334092701	131.1117909162	2191.2125857486	260.9608184120	328.5022937902	312.7293803839	2824.1745469174
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	16.6782227718	1425.8968278231	883.3066234242	559.2797530843	361.2408789941	902.2359613004	1160.5354825587	0	330.6792908805	401.8004949659	728.6929743422	854.4119418486	805.7209386188	224.3062903256	486.9269853927	161.3405779461	0	1828.3429654354	399.9714157214	0	718.4050820898	359.7857750787	425.5963967761	47.5272252560	443.7175133096	492.8632271937	0	0	315.6376497995	186.1112978554	0	305.3736562618	305.7619744438	685.6128986926	409.4374268900	782.5760945184	285.8061942465	886.6274720812	129.2131252239	0	0	373.1398563161	237.2914755674	128.8121732412	202.2246136275	208.8809491617	68.6138743863	150.9049270349	151.1481387089	24.3154514392	331.7450813975	899.6433533602	81.1379683221	272.9663018072	46.9602040300	1456.9585579315	352.4541958091	1160.9523740664	41.3599812210	350.9677988941	0	35.2968308553	438.5759565125	211.8185610514	184.0898379489	157.9681672682	283.7166852817	733.2618627660	522.9791314473	0	961.8919961711	321.9526024286	755.6136600876	0	309.0276077445	368.8391809371	194.7891614441	317.3027246111	534.9332376474	268.1985676777	676.4718580176	0	263.6491693610	145.2577979097	1740.4540423362	289.2036929909	362.4038186751	0	1115.0898807850
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	32.5161304525	1486.7335588076	1037.9403888506	483.9412866236	292.5490736932	937.4715521575	1214.4712157352	0	429.4866780984	0	434.6706639656	497.2453366485	564.0892509907	225.5280503120	161.2898130855	217.5431554737	0	2301.7873498173	422.7627985204	0	843.0085409477	355.5067964216	381.3910343697	90.3732560123	486.1518883334	668.5146908535	0	0	226.6900784274	171.7723818624	0	199.1421121993	477.4665998204	1181.0072528049	414.0703707248	797.2555753175	226.0302664582	858.8253452248	121.6229013060	0	0	364.9791093877	183.4249013855	127.3248315244	211.6781150216	0	65.5191229644	70.4040991603	151.7263869583	45.9511948772	183.2987453871	189.6874222025	0	286.2806746301	38.4050279007	1366.3456031563	340.7744811326	1561.2990647568	33.5078104011	359.0676270300	0	0	337.5881430521	0	193.3035605663	0	266.4516210250	594.0523079402	834.5573064666	0	102.2982781507	570.2431259541	706.7019054026	0	317.1774738221	321.1148778269	163.8812954557	295.5718186764	0	504.7501542281	690.4688282341	0	133.1063727108	0	2204.2763748828	225.2171095399	308.7409339405	0	1719.8408001221
PWY-6305: putrescine biosynthesis IV	1193.2965900818	1677.1979502208	1546.8794550485	1065.3579714580	2502.6577783517	1092.4004662046	1353.5864148736	21.5469184561	204.4644390445	807.4542719148	828.0455619937	984.1704395744	2135.1221350877	1684.7880531059	773.0356069445	821.0580419105	75.5434144621	2782.6578231851	1219.1266691604	1588.2881873645	1311.5186957652	784.5448014553	1949.4502080453	645.6780886802	1623.7115278102	836.5639890541	3925.9887604759	121.6552097698	1717.4070543996	240.5418235715	245.0496512270	799.8830940507	539.0638064852	1951.6526354056	1396.4630694985	1128.3050496908	543.4594201623	1497.0360320247	837.7095883994	293.1507393628	800.8603156513	461.5105129685	1242.0258362697	610.2085411851	664.5807705463	130.4118796705	51.3822891548	330.9035108364	711.0678100813	250.4837781499	1676.3406409437	1435.1027215564	1007.7949358444	612.7128488610	393.9542231351	885.8232859747	773.0055362955	895.3253256003	1613.5815847798	592.9834146587	1120.2596080250	1105.8083634681	900.7205040822	250.4314624665	1164.7294404830	566.1697338627	700.4330938960	1638.9976322708	932.4250592785	328.4290605413	1378.8704633984	1646.0723789215	1209.7998745486	651.1984153995	566.6291140087	2065.0672575960	177.9263595976	1390.7534115112	200.2311936939	2141.6428994465	502.9738134693	38.8878805547	768.4343157455	1076.3014491512	1119.0849425176	955.9890743290	779.7687094272	1059.8249751502	1693.3432600286
PWY-6317: galactose degradation I (Leloir pathway)	5685.1513442528	3956.2812524612	3204.8992416125	4621.2986552113	3600.4239848302	6237.9144475756	2968.6846797831	1857.2821133284	1570.2689693427	2871.8886653273	3759.5421392790	4110.6950631825	5279.0498770219	6231.6777702238	2972.8266685896	3060.3361537243	1639.2597273011	3398.1803210590	3639.0341331108	3460.2325780910	5118.4325961050	2708.8045276092	4075.6115397844	2760.3866474557	3329.0531561411	1715.9639366451	8663.8834744607	1465.5095851053	4265.0823029098	1383.3163829640	2992.3816017784	5673.1314303595	1968.2201791494	3539.6425273929	3484.7795414960	7507.5812472695	1752.0730034257	5878.3382383888	1885.3733699095	3103.0505526432	2117.9537285649	2578.8085039205	3340.1519043878	2394.0701629363	1965.3528446919	2112.7695439802	1227.7710324211	770.5184373612	3510.9020127345	644.5256344892	4056.2827550110	3481.6960202742	1835.3329327438	1365.0308619020	708.0173606029	4098.0224995838	2724.9952205047	2663.6931995841	5034.3185921919	1803.3211370231	3376.7940819755	3172.1411902387	1900.7429583842	1471.7616703768	2887.2359936972	1833.1973576957	2143.1914700417	4042.5771487776	1899.1250934273	1230.0877702716	3762.7291775444	2181.0443149226	3458.1566686665	2716.7249159040	1750.1061997975	3597.8690731378	1233.7969426975	4343.3387927596	2142.0226633697	3270.3636563394	1980.8784201764	671.1329279201	3132.8376823921	2484.8301674010	2806.4511787064	3429.2802388332	2887.1185994626	2808.8675449182	3311.8852733813
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0	21.5900918991	0	0	0	0	5.4054027218	0	0	0	0	0	0	0	0	21.6147580945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4024494686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.7131900006	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	101.5777994835	217.5312547729	2060.7079065643	607.7254744114	203.0234094235	1155.6083657415	311.3258478119	79.5414657563	319.9863388023	570.7908928476	895.4496284819	410.0024543392	639.5029859120	315.1120921300	159.3090046386	417.7093980657	372.2502699314	1574.7118380070	736.3687644618	371.0726716004	1038.5586330385	987.5765196901	563.3775535838	685.8745897511	379.9519062872	685.4718828888	66.4570234532	97.8489908723	588.3702948397	176.2739125111	710.7470420838	213.8628221174	1083.0030979654	4502.0792288655	1403.6257347948	643.2668143816	503.1958561082	772.0894164971	309.3018205051	467.9139990884	1799.2463778438	211.3183910275	477.8813407036	94.3906942932	622.4784095995	71.3400620122	124.2642112168	236.2099445018	1354.2259625441	127.2936730212	558.5132474341	1712.7273392372	458.8712401499	632.1846602764	147.0220161513	869.2155328356	417.0998335621	1295.9055628690	86.6727117313	501.0451621703	392.6180418846	335.1369778960	548.8179355147	53.4025307883	684.7672102204	76.6867068293	484.7936733068	704.3767127409	1412.7828956267	204.7122697278	1794.9804073132	2358.2042197665	262.4355461430	747.7641943965	331.1749042457	910.7114590998	383.4419712557	800.9045371645	99.3197135793	4698.4354843598	345.2737683378	109.8648367260	383.7156089066	70.2852855427	2519.3877801533	1657.3228230422	190.1580193351	14.2491896370	4194.9991151667
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	7685.5689762809	6362.7996108761	8171.0097012544	6043.6043697689	7389.3148797582	8763.3457104659	5164.6788987382	9474.5291645265	8665.9376750718	6635.3378283513	5103.3973258617	6377.1875729622	8056.5933730965	7135.0474849931	7617.1648860321	6282.4109337632	7108.6480776438	5609.0514990006	5221.2091326916	7366.1682222131	5810.6229803314	4921.6218706229	5447.4318915277	5028.6044801547	6439.3917255164	4704.2071034401	8923.8501338167	7224.5381414834	6869.7786795883	2108.2002370644	8717.2085149261	5272.3008313749	8308.8654205754	6751.2945305797	8721.1088671498	11183.0596016881	3978.2475242628	6327.5219288007	3080.9239330353	9273.0949313395	8232.2954398539	5494.4022357799	6717.1734970197	3555.1611545978	4443.3123662970	6077.3818973602	9349.8722973521	1257.3663750165	6901.3936756198	2548.6391769470	4949.0382927666	7064.9119331468	5945.1538494385	2985.3944685749	1325.9841212966	3823.3593081683	7003.3208726081	5994.3671370373	6727.5339370052	2631.6596697862	7691.4167650203	5678.5583955810	6105.8602397090	2180.1275843885	6859.6038243998	7811.0486357086	4065.7904271072	6967.3608463332	3550.6908347524	8917.3250846968	8361.0424479982	4930.4250680188	6541.2992675869	5793.9487201577	3029.6932877762	7862.8027632455	2703.2212611653	8293.3325166901	7912.3520742432	5971.0540883665	2311.9419118415	7817.4046945870	7591.1578959205	7584.9377813415	4616.2392983437	6084.9410390479	4402.6947353318	8069.1998972572	6804.0128672039
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	8523.4539777942	8456.7078255741	10490.3557835354	9122.0578020375	9041.0306835364	10828.8615653394	6698.3210895475	10299.9714280379	10009.1369107796	8769.7222012846	7693.5515877726	7533.8112895905	8668.6708004530	8688.6606658213	11570.3676049032	9467.2129969579	8488.3208025986	10149.7328534515	6258.1627409361	9565.1535822924	8490.0266008658	6610.2408499997	11369.4965642597	7363.6365778517	8478.0516900388	8557.1779384501	11324.7201687535	9401.4730162749	9035.6177532992	4866.6755969330	10159.2135895475	8644.3585169091	9874.3028472837	9339.6278892680	11828.3213866394	12477.1593995375	6077.9114403105	7945.1460001210	8622.0614259558	10471.8274323018	9466.7745068723	6642.3883024389	7588.6197985698	6876.2854160972	8798.0719598024	7728.9933122509	11283.5134333899	4515.0309738931	9626.3806349084	8006.2150167821	6504.2072097280	8475.5454865741	9260.7194180512	7105.8706947505	7332.6557408565	6209.8570038142	8546.3334515765	7007.1353771943	7927.9956082838	6508.4468056803	8765.8881985770	10931.9905869695	8359.7134924020	4686.6954099173	9445.3873963755	9470.6934368537	7256.9931260594	9640.5550709478	5567.7177284127	10821.6723284955	9423.2102948967	6933.2639017194	7996.0410005431	9698.5752969576	5573.5904643916	11388.0590902103	4704.1731877487	9755.4372297220	9307.7868228946	8199.0579657631	6337.1815161705	9513.4571464128	8382.0204763715	10795.0809360619	8242.7874662647	11517.4314274774	6480.9912110843	9878.0631796785	7421.9100767570
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	7892.6018313238	8327.2871169849	9896.7743737061	8913.3766718924	8924.0592533358	10327.8535889227	6575.2817387325	10191.9595723320	9490.4608809968	8580.6569405438	7530.1843217197	7197.3221086181	8200.5761618339	8412.4024996388	11538.4014249816	9201.7020150158	7611.0053377193	9857.4455553449	5996.4412256855	9422.3440248118	8445.0223619830	6386.5915819632	11329.4110003805	7311.3058187329	8472.7101407398	7996.8654833444	10903.1672264086	8671.0159588045	8863.8618770689	4626.4682133685	9701.1768968092	8617.8869896105	9217.7880822000	8861.6014971661	11542.3022589023	11842.1203426954	6012.7334467621	7926.0126012071	7937.7991531529	10131.8732466174	8705.7728229745	6470.4156611445	7439.2647565393	6636.1235214280	8513.1634657120	7456.9310855668	10602.5019158075	4176.3819186078	9386.0241992081	7503.0686777570	6361.0253195750	7840.4218272458	9095.2447521947	6690.3866145989	7047.9443481310	6133.9677830183	8775.4832781173	6863.7204117306	7216.2031526034	6223.5979397075	8130.8521817320	10404.0627648254	8371.5903279727	4579.3218108383	9070.3025820792	8801.8068497438	6920.1953755462	9446.1956268996	5401.8696107178	10053.4755364863	8836.1118399611	6903.0182633974	7764.5195704602	9572.7311512566	5493.1048000059	11339.2065523370	4239.0721533802	9240.0946735377	8930.4261473482	7974.2777807861	6003.7870742383	9888.9221616715	7791.4744410491	10673.7111167458	7814.6597332103	11072.8409140430	6520.5664884551	9108.3649058951	7341.9968394290
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.4961062102	0	0	0	0	0	0	0	10.7874143111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1124312197	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis V	0	0	0	0	0	0	16.4618521145	0	0	0	0	0	0	8.3442437030	0	0	0.7905100314	0	0	0	3.7504974749	0	0	0	9.2873120393	0	0	0	0	10.3774742226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7465180627	0	0	0	0	0	0	0	0	0	21.7443198217	0	22.1061746148	0	0	0	0	0	0	0	0	0	0	0	0	0	88.6671398101	0	0	0	0	0	13.7023195443	0	0	0	0	0	0	11.2652183513	0	0	0	0
